id;nombre;ShortEquipoReal;posicion;precioCompra;;;
123;Pepe Reina;CHE;portero;700000;;;
124;Pau Torres;CHE;defensa;50000000;;;
125;Jorge Cuenca;CHE;defensa;8000000;;;
126;Aïssa Mandi;CHE;defensa;6000000;;;
127;Raúl Albiol;CHE;defensa;3000000;;;
128;Alfonso Pedraza;CHE;medio campista;18000000;;;
129;Johan Mojica;CHE;medio campista;5000000;;;
130;Alberto Moreno;CHE;medio campista;5000000;;;
131;Juan Foyth;CHE;medio campista;25000000;;;
132;Kiko Femenía;CHE;medio campista;2500000;;;
133;Francis Coquelin;CHE;medio campista;5000000;;;
134;Étienne Capoue;CHE;medio campista;3000000;;;
135;Giovani Lo Celso;CHE;medio campista;22000000;;;
136;Manu Trigueros;CHE;medio campista;12000000;;;
137;Dani Parejo;CHE;medio campista;9000000;;;
138;Manu Morlanes;CHE;medio campista;5000000;;;
139;Álex Baena;CHE;delantero;10000000;;;
140;Yéremy Pino;CHE;delantero;40000000;;;
141;Samuel Chukwueze;CHE;delantero;20000000;;;
142;Nicolas Jackson;CHE;delantero;10000000;;;
143;Arnaut Danjuma;CHE;delantero;50000000;;;
144;Gerard Moreno;CHE;delantero;40000000;;;
145;José Luis Morales;CHE;delantero;4000000;;;
